Java程序员,珠海科亚信息技术有限公司,4.5-6千/月,08-02,外资（非欧美）,50-150人,计算机软件,,珠海|2年经验|本科|招20人,【,珠海市唐家湾镇哈工大路1号-1-C203,"CoreSolutionsisaprivatelyheldinformationtechnologyandservicesfirmspecializinginglobalsourcingsolutions.CoreSolutionsistheonlysolutionproviderthathelpsbothbuyersandsellersstreamlinebusinessprocessesacrosstheend-to-endsourcinglifecycle-fromproductdevelopmenttocosting,fromQAtoQC,fromordertopayment.CoreSolutionsoffersapowerfulsetofelectronicandweb-basesolutionsthatdramaticallyimproveProductLifecycleManagement(PLM),GlobalSourcingManagement,GlobalVendorAutomationandSupplyChainCollaboration.Leadingretailers,wholesalers,brandmanufacturersandthousandsofvendorsaroundtheworlduseCoreSolutions'softwareandservicestocoordinateactivities,synchronizedata,increasevisibilityandeliminatemanualprocesses.CoreSolutionsisbasedinHongKongwithofficesinUSandChina.CoreSolutions'CBXsuiteisthemostpowerfulsetofglobalsourcingsoftwareandservicestohelpretailers,wholesalersandbrandedmanufacturersstreamlineProductDevelopment,Sourcing,OrderManagement,ProductionManagement,QualityManagement,LogisticsandFinance.CoreSolutions建立于1995年，在IT咨询顾问和企业软件开发一直保持着领先的地位。现在，以香港为中心，本公司在美国，上海，珠海等地方建立起了分公司。我们的团队，专注于企业软件的开发（我们的旗舰产品iDEX/CBX－企业信息交换平台）并且为各领域的领头企业提供专业的解决方案，如SCM，ERP，BusinessIntelligence等。我们的客户包括渣打银行，汇丰银行，欧尚,家乐福,CloesGroup,SwireBeverages，SanMiguel，CrownWorldwide，LimitedBrands，等其他著名企业。于2003年在中国珠海投资成立了珠海科亚信息技术有限公司，注册资金为350万港币，座落于珠海的高新区--珠海新经济资源开发港。现在，我们珠海的技术团队具有一些非常有挑战性的工作机会给愿意接受挑战的计算机专业人才。我们非常欢迎聪明，有强烈的求知欲，高忠诚度，和不成功决不罢休的态度的计算机专业人才来应聘。应聘者的资料会被严格的保密。公司网站:http://www.coresolutions.com[公司的优势及提供的福利]：1.外企灵活、开放的管理模式，民主、人性化的制度及乐于分享技术的企业文化；2.良好的培训及发展空间，让每位员工能发挥所长；3.每天八小时，五天工作制；4.至少一年一次的提薪机会；5.从入职当月起办理社保（养老、医疗、失业、工伤、生育）；6.工作满一周年，享有带薪假期10天；7.其他节假日按国家规定执行；8.可接收人事档案(公司代缴档案费)；公司有党支部可接收党员关系；9.符合条件者可申请入公司集体户口；10.如有需要可申请安排员工宿舍；"
中级U3D程序员,广州星湾网络科技有限公司,1-1.5万/月,07-04,民营公司,50-150人,网络游戏,,广州-天河区|1年经验|大专|招1人,工作职责：1、带领客户端开发团队使用Unity3d进行游戏开发；2、负责游戏前端程序架构设计、核心算法实现、关键点难点技术公关；3、负责与服务器、策划、美术等其他内部相关组组织进行沟通与协助。4、根据项目需求，完成具体功能的开发；5、根据团队的优先级情况合理分解安排开发计划；6、负责客户端整体架构设计与优化；岗位要求：1、具有1年以上开发经验，有完整游戏项目的经历优先选择；2、精通c#、c/c++、UGUI3、熟练使用unity3d游戏引擎进行游戏开发，熟悉相关开发测试工具的使用；4、熟悉Unity3d渲染，优化客户端效率与性能问题；5、具备优秀的沟通协助能力和团队管理能力；6、有耐心有责任、抗压力、执行力强，能够适应较高强度的工作。7、热爱游戏事业，愿意钻研新技术。8、精通Unity3D引擎架构设计，熟练使用UnityNGUI等插件，熟悉UI框架和U3D性能优化；9、熟悉Unity3D的图形渲染、物理引擎，AI、资源管理，性能分析等模块；10、有较好图形学知识，了解图形渲染管线者优先；11、有1年以上Unity3D客户端开发经验，具备完整的从逻辑开发到上线优化的Unity3D上线项目经验优先；12、思维严谨，逻辑清晰，有良好的沟通能力，团队协作能力；13、热爱游戏，追求完美，对前端动画及美术等素材展现要求严格，追求卓越表现力；14、有ARPG游戏经验者优先。,红砖厂505,广州星湾网络科技有限公司，总部在广州，是一家新锐手游研发发行公司，致力于精品手游深度定制、研发与营运发行，积极推动国产游戏发展，布局影游联动，泛娱乐推广等，立志成为行业标杆的互动娱乐专精企业。手游研发圈“黑马”，团队成员来自网易、完美、银汉、游戏谷等公司，期待热爱游戏、生活的伙伴一起创造未来。
C++ 小程序员,上海尔易信息科技有限公司,0.8-1.1万/月,07-05,创业公司,少于50人,计算机软件,五险一金 弹性工作 补充公积金 定期体检 专业培训,上海-浦东新区|本科|招3人,,上海市浦东新区向城路,上海尔易信息科技有限公司是金融交易工具市场的新秀，主要开发人员来自期货交易技术邻域，均有多年专业经验，我们致力于以高超的技术实力帮助客户创造价值。我们擅长：1）技术业务咨询2）提供专业产品3）交易系统开发4）量化软件定制欢迎您的加入~~
COCOS2DX-LUA程序员,广东全娱科技有限公司,0.8-1.2万/月,07-05,民营公司,50-150人,网络游戏,五险一金 员工旅游 绩效奖金 年终奖金 餐饮补贴 带薪年假 周末双休 部门活动 饮料任喝 定期体检,广州-番禺区|2年经验|大专|招若干人,岗位职责：1、负责手机游戏客户端功能开发；2、良好的理解策划需求，与策划人员进行良好的沟通；3、高效的与服务器端人员开发合作设计编码和调试；4、对项目存在的性能问题能够快速定位和优化。任职要求：1.具有2年以上cocos2d-x开发经验，熟悉cocos2d-x引擎，熟悉lua进行游戏开发，并会使用游戏开发相关配套的编辑器等工具等常用开发工具；2.有移动平台游戏开发经验尤佳，有ios、安卓双平台手机游戏开发者尤佳，有cocos2dx/js开发经验、熟悉cocoscreator尤佳。,迎宾大道迎宾壹号大厦202,广东全娱科技有限公司成立于2016年5月，是一家专注移动棋牌游戏及休闲类游戏研发及运营的公司，拥有众多的活跃用户及良好的创收能力。我们是一家拥有创意和活力的创新游戏企业，也是一家拥有丰富研发经验的资深游戏企业，公司的管理层和核心成员均来自各大知名游戏公司，拥有10年以上的游戏研发和运营经验，有强大的实力及信心做业内顶尖的移动棋牌及休闲游戏产品。福利体系：1.工作时间：朝九晚六，周末双休，享受国家法定节假日；2.六险一金：社会保险(养老、医疗、工伤、失业、生育、重大疾病)，公积金；3.带薪假期：年假、婚假、产假、陪产假等假期；4.餐饮补贴：公司提供每月午餐餐补费和免费工作晚餐；5.每月有全勤奖，每月部门活动经费；6.具有竞争力的薪酬、季度奖金、年终奖，完善的调薪晋升、培训机制；7.生日活动，部门活动，年度旅游，年度体检，年会等；8.员工每周体育活动，如公司羽毛球、乒乓球等。
php 程序员,安徽汉点网络科技有限公司,6-8千/月,07-05,民营公司,少于50人,计算机软件,,合肥-庐阳区|3-4年经验|大专|招2人,岗位职责：1、负责APP、商城、网站、小程序等项目定制开发；2、负责上线项目的后期程序维护、更新、完善；3、参与系统需求分析与设计，并负责完成PHP核心代码，接口规范制定；4、参与设计和开发相关模块的程序以及设置项目开发的时间进度；5、按时按质完成公司下达程序开发、系统评测等工作任务；6、及时处理反馈回来的系统bug等。任职要求：1、计算机相关专业，专科及以上学历，3年及以上PHP+MySQL开发经验；2、精通PHP+MySQL，能够使用PHP+MySQL独立开发，精通开发框架；3、了解Html、DIV+CSS、Javascript、Ajax等相关Web技术；4、有自己熟悉的CMS开发系统，熟悉linux系统者优先考虑；5、高度的责任心和较强的学习能力，并且能够承受一定的工作压力；6、具有规范化、标准化的代码编写习惯，及一定文档撰写能力和沟通能力。工作时间：早上9:00—18:00，午休1小时，周末双休；国定假期按国家规定执行，转正交五险一金，入职享住房补贴。（公司业务属于外包性质，正常上下班，介意慎投，谢谢！）,肥西路金龙国际B座805,安徽汉点网络科技有限公司（简称“安徽汉点”）为上海汉呈信息科技有限公司于2018年在安徽合肥成立的子公司，注册资金500万，是安徽合肥一家专业的软件和信息技术服务公司。公司主要服务于大中型企业，提供技术开发、品牌运维等专业服务。公司以“服务于心，品质于行”为核心价值，希望通过我们的专业水平和不懈努力，重塑企业网络形象，为企业产品推广、文化建设传播提供服务指导。安徽汉点秉承以用户需求为核心，专注合肥本地及安徽周边市场的开拓的，为企业提供网站策划服务，期望以优质、用心的服务赢得企业的信赖和好评，在安徽地区树立起公司的良好品牌形象。公司不仅提供专业的网站策划服务，同时还提供完善的售后服务，为企业发展中遇到的问题和困难提供指导帮助。我们相信，通过我们的不断努力和追求，一定能够实现与各大企业的互利共赢！
PLC程序员,苏州神飞自动化设备有限公司,0.7-1万/月,07-05,民营公司,少于50人,机械/设备/重工,,昆山|1年经验|中专|招1人,熟悉三菱PLC及其应用，能配合公司外地出差工作，能独立完成客提出的问题点，及相关程序修改。,昆山市千灯镇善浦西路51号,公司成立于2009年，主要经营印制线路板（PCB）湿制程设备的研发、销售、生产，为客户提供设备项目提优整改及零配件销售服务。公司汇集了德系设备公司的精英设计和品质理念，结合日本一家资深的FPC行业技术公司合作，在软板设备领域取得了辉煌成绩。公司近几年在稳固中飞速发展，目前在昆山自购厂房，于2019年10月12日已搬迁至新的工厂。
lua脚本程序员(游戏逻辑),上海鑫线信息技术有限公司,0.8-1.2万/月,07-05,民营公司,少于50人,计算机软件,,上海-浦东新区|招4人,,张杨路560号中融恒瑞国际大厦1906室,"上海鑫线信息技术有限公司,简称鑫线游戏,公司业务集游戏研发运营为一体，主要专注手机，iPad等设备的游戏开发与运营。我们的团队拥有丰富的游戏研发经验，曾成功研发多款PC上的大型网络游戏，鑫线游戏于2014年初推出iOS平台上的大型策略战棋游戏：《策马三国志》，在游戏深度，玩法创新，耐玩度上把手机游戏推向一个新的高度，广受玩家赞誉！游戏可玩性高,历经多年,经久不衰！并且于2015年10月推出《策马三国志》的安卓版,于2016年7月推出玩法新颖多变的硬派热血塔防游戏《策马守天关》！公司提供具有竞争力的正规福利待遇，现诚邀热爱游戏，不惧挑战,具有团队精神的优秀人才加入。办公地点:上海浦东张杨路560号中融恒瑞国际大厦，位于市中心区域交通极为便利联系邮箱:hr@xingames.com联系电话:021-58463281"
初级程序员（.net）,广西致新科技有限公司,4.5-6千/月,07-05,民营公司,少于50人,计算机软件,五险 双休 年终奖金,南宁-西乡塘区|1年经验|大专|招2人,"职位描述:工作职责：1．根据项目需求，参与项目系统设计、开发、调试和模块测试等工作，根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；2．进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量,负责对项目及产品进行实施维护及性能分析。3．负责项目及产品技术文档的编写。4．能独立处理和解决所负责的任务,根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。任职者基本要求：一．所需知识技能：1.熟练掌握ASP.NET、C#编程技术。2.熟悉JavaScript、XML、HTML、CSS。3.至少使用过一个JQuery开发的开源框架。4.熟练使用SQLServer数据库。5.熟悉C#MVC3.0或其以上版本。6.从事.NET平台WEB开发工作。7.负责功能模块编写和单元测试。8.参与公司业务系统的需求分析、系统设计工作，能够攥写相关技术文档。二．教育培训：（1）专科以上学历三．工作经验：1.了解Web(B/S)架构开发整体流程;2.有良好的沟通表达能力和团队合作精神，并且有责任感;3.好高骛远者、频繁跳槽者勿扰。",明秀大学路口城市碧园4栋601,广西致新科技有限公司致力于行业软件定制，多年深耕高校管理信息化建设，积累了丰富的经验，形成系列成熟、可靠的软件产品，通过业务整合以及大数据应用，打通管理数据屏障，为高校智慧校园建设提供一站式的解决方案。公司经过十多年的积淀，拥有一支专业、高效、稳定的软件开发和服务团队，深得行业客户的信赖。我们坚持客户优先原则，凭自身雄厚的技术力量、高效的实施团队、优质的售后服务在行业中树立守承诺、重技术、高效率的良好形象。公司自主研发的智慧校园系列软件应用于区内多家高等院校，为校园信息化建设提供了专业的技术服务，深得用户信赖和好评。其他行业定制软件在提升企业竞争力、推动广西数字经济改革的技术升级和发展做出了贡献。
java高级程序员,广州恒瑞仁茂信息科技有限公司,10-15万/年,07-06,民营公司,少于50人,计算机服务(系统、数据服务、维修),,广州|3-4年经验|本科|招3人,,广州市花城大道6号,恒瑞公司由民间私人投资公司投资创办，投资人持股51％、管理层持股49％。“为楚有才”，公司凭借着深厚的大学背景，依托大学丰富的人力资源和研发实力，拥有并创造了中国IT服务、环保行业发展至关重要的核心技术；公司拥有一支高素质、高效率的管理团队和一大批具有丰富实践经验的专业技术人员。公司充分利用了大学优秀的人才储备和物质资源，配备了先进的软件开发、测试设备及软件人才培训基地。为公司的发展提供强有力的物质和人才的储备。公司的愿景是：人才是企业的核心竞争力，公司将整合大学丰富的人力资源，充分利用人才和技术的优势，在国内软件市场占据领先地位。我们的客户包括：广州环保集团，南方航空，广州市政府，广州市人社局，长沙海关，长沙市政府我们提供良好的福利待遇，宽松的工作环境，有竞争力的职位。欢迎来与公司共同发展。
SMT程序员,深圳传奇智造有限公司,6-8千/月,07-06,民营公司,150-500人,电子技术/半导体/集成电路,做一休一 弹性工作 包住宿 绩效奖金 节日福利 餐饮补贴,深圳-龙岗区|3-4年经验|高中|招1人,1、高中或中专以上学历，男女不限，3年以上工作经验2、熟练运用FLEXA编程软件，熟悉NXT机器和XP机器；3、熟悉振华新AOI程序制作，会使用KIC炉温测试仪；1、负责SMT富士NXT和XP机器的程序制作、BOM资料整理、生产机台站位表的制作与发行管控等，协助工程师对机台程序优化提升生产效率。2、负责AOI程序的制作与优化、每天炉温测试。3、协助工程跟线工程师转线和程序优化。4、负责每月贴片机台保养点检表发放与保存,深圳市龙岗区宝龙街道同德浪背工业区路95-1号,"深圳传奇智造有限公司是一家以集成电子产品及工控主板生产、加工、销售、研发为一体的专业生产厂家。公司成立于2015年6月份并于该月正式投产，工厂占地面积1万平方米。公司一直以来本着:以""团结.务实.开拓.创新""为企业精神;以""以客为尊,以质为本,创新进取,信誉***""为经营宗旨,得到广大客户给予的高度评价.公司现有人员200多人。环境优美,福利待遇好,公司目前在进一步扩大。现向社会公开招聘以下职位：热烈欢迎各界英才加盟我司，共创辉煌！！！公司地址：深圳市龙岗区宝龙街道同德浪背工业区路95-1乘车路线：地铁3号线双龙地铁站B出口3号站台乘坐M266至浪背总站下车，美宜佳便利店左转直走500米。"
PHP前端程序员,宁波桉惠迦科技有限公司,6-8千/月,07-06,民营公司,少于50人,计算机软件,五险 全勤奖 年终奖金 交通补贴 高温补贴 带薪年假 节日福利,广州-番禺区|2年经验|大专|招1人,1、大专以上学历，拥有较强的逻辑思维能，有2年以上前端开发经验和电商经验，精通PHP、Javascript、HTML/HTML5、CSS/CSS3等前端开发技术；2、有前后端分离项目经验，熟悉于后台人员接口对接的开发模式；3、熟悉MySQL，能够熟练编写SQL查询语言；4、对前端技术流行趋势敏感，具有前端的性能优化技术，能够独立完成复杂前端模块的设计与实现；5、良好的沟通能力及团队协作能力，具有很强的责任心，能承受较大的工作压力；6、具备已上线的产品或微信小程序开发经验者优先。,奥园城市天地,宁波桉惠迦科技有限公司，是一家致力于为企业打造生意好帮手，协助提高企业经营效益的SAAS软件开发企业。公司成立于2018年11月，现在宁波和广州两地设立了营运和研发公司。桉惠迦科技现已与支付宝、微信、百度、京东、银联等公司达成深度合作伙伴关系。形成了以聚合支付为切入点，融合了SAAS平台的优势，为企业提供通用和个性化定制的软件产品服务。公司当前拥有GO易呗（针对商家营销方面）、易收呗（针对商家交易支付方面）和马上达（针对商家物流需求）三个业务板块。GO易呗（购易呗）侧重于为企业降低交易成本和提供个性化是线上线下营销辅助手段，企业可以使用GO易呗的统一平台或者个性化定制功能进行产品销售和宣传。易收呗则侧重于助力中小微等商户提供线上线下相结合的支付工具，通过融合支付的手段帮用户降低交易成本提高经营效益。马上达则是侧重于为企业提供物流配送服务的软件，降低企业的物流费用，和提高配送效率，搭建企业自有的物流团队。桉惠迦科技，致力于为企业打造一个更省钱、又省心和省事的生意好帮手，让你的生意更简单、更赚钱！
SAS 程序员(J11564),正大天晴药业集团股份有限公司,1.5-2万/月,07-06,合资,10000人以上,制药/生物工程,五险一金 节日福利 年终奖金 绩效奖金 补充医疗保险 交通补贴 餐饮补贴,南京-江宁区|1年经验|本科|招1人,工作职责:1.、生成统计表、图和列表的编程、测试与记录。2、编写程序以分析数据集（派生数据集），并提交数据。3、编写统计核查程序，以用于数据的核查。4、协助撰写编程文档，包括计划和说明。5、协助开发、实施和验证新技术、宏及应用程序。6、协助项目团队负责人履行项目职责。任职资格:1、本科及以上学历；2、医学、药学、公共卫生、医学统计、生物信息、计算机等专业；3、具备基本的统计编程知识，例如BaseSAS、SASSTAT和SAS宏语言；4、熟悉CDISC标准。,福英路1099号,正大天晴药业集团是集科研、生产和销售为一体的创新型医药集团企业，是国内知名的肝健康药物研发和生产基地，为国家重点高新技术企业、国家火炬计划连云港新医药产业基地重点骨干企业，2018年位列中国医药工业百强企业榜第16位（由中国医药工业信息中心评选发布）。正大天晴始终将科技创新作为企业发展的重要战略，是国内创新药物研究投入较多的药企之一。正大天晴以研究院为创新载体，“江苏省新型肝病药物工程技术研究中心”、“博士后科研工作站”、“国家认定企业技术中心”等高层次研发平台相继建立，自主创新能力不断增强。随着企业的发展和研发能力的提升，正大天晴的研发费用年投入已超过10亿元。目前，正大天晴拥有研发人员1500余名，在研项目250多个，其中创新药74个，化学仿制药146个，生物药31个。正大天晴在连云港建有三个生产基地，总占地面积800余亩，包括占地160亩的孵化基地，占地200多亩的原料药基地，占地480亩的制剂基地。正大天晴制剂基地获得全国首张新版GMP证书，固体制剂车间通过欧盟认证，获得德国药品管理局颁发的欧盟认可的GMP认证证书。这些证书的取得标志着企业药品生产质量和管理水平走在了全国医药行业前列。目前，正大天晴正在为四大拳头产品进军国际市场做准备，未来这些药物将成为正大天晴敲开国际市场的新利器。正大天晴产品治疗领域涉及肝病、肿瘤、呼吸、感染、消化等多种疾病领域，16个年销售过亿元的产品形成了“亿元产品群”，其中年销售额过20亿元产品2个，分别为国家一类新药异甘草酸镁注射液（天晴甘美）和国内首家上市的恩替卡韦分散片（润众）。除强势肝病领域，抗肿瘤领域也形成了独特的产品线，血液肿瘤产品地西他滨、伊马替尼、达沙替尼为国内首仿；实体瘤产品卡培他滨获批上市；备受关注的中国肿瘤领域的原研创新药——安罗替尼上市，成为晚期非小细胞肺癌患者三线治疗的标准用药。呼吸、抗生素、内分泌等领域，也将是企业未来发展的重点方向。未来发展中，正大天晴将持续强化核心竞争力的打造，在保持肝健康优势地位的基础上，重点打造肿瘤及肿瘤辅助用药等治疗领域，推动企业从“一肝独大”向“两核多强”转变，从化学药向“化学药与生物药并举”转变、从“仿创结合”向“创仿结合”转变、从“聚焦国内”向“国内外协调发展”转变，同时创新技术路径和商业模式，带动产品研发、生产技术和营销模式的转型升级，以及产业体系的提质换档，向创新型、国际化的医药集团稳步迈进。连云港市地址：连云港市新浦区巨龙北路8号人力资源部南京市地址：南京市江宁区福英路1099号正大天晴招聘门户网站：http://cttq.zhiye.com/正大天晴招聘微官网：https://cttq.m.zhiye.com/#/
PHP网站建设程序员,自考之家科技（深圳）有限公司,4.5-6千/月,07-06,民营公司,50-150人,教育/培训/院校,专业培训 交通补贴 节日福利 五险一金 员工旅游,深圳-宝安区|1年经验|本科|招2人,"能要求：HTML/CSS，PHP1、负责企业网站（php）的建站需求，网站改版和windows/linux服务器维护。2、配合策划，设计，前端，能很好的，高效的完成任务。3、配合其他职能完成PC、手机站点的功能二次开发及维护（PHP）网站安全性；4、配置并处理前端网站的代码安全、缓存与存储优化问题。任职资格：1、熟练掌握js,jquery,div+css,php,mysql基础知识,熟练掌握DIV+CSS布局。2、熟悉html5+css3和移动端开发的优先。3、熟练掌握linux服务器常用命令的优先。会linux服务器lnmp或lamp的优先。4、熟悉SEO优化的优先考虑。5、有DEDE经验者将直接优先录用。6、有良好的语言表达及沟通能力、团队合作精神，以及对工作强烈的责任心。具有不耻下问的精神。",深圳市宝安区西乡大道共乐大厦12A自考之家科技,自考之家是一家集线上及线下培训于一体为考生提供课程培训的服务公司，公司成立于2008年，一直专注成人教育领域。旗下有线下学习平台，教师资格证，初级会计，心理咨询师，自考在线培训课程等培训。我们是一家创业型公司，公司主营业务为在线教育招生，在全国有超过20多个教育门户网站，日流量超100000+IP。计划三年内上市。选择我们，可能暂时给不了你高薪，但是公司为你提供超越同行的发展平台！公司规模：100多人、深圳、广州、等分公司。
中级U3d客户端程序员,福建神徕科技有限公司,1.5-2万/月,07-06,民营公司,50-150人,计算机软件,,福州-晋安区|3-4年经验|大专|招1人,,东二环泰禾广场7号楼18层,福建神徕科技有限公司是一家专注于手机游戏产品研发的年轻企业，拥有一批对互联网充满激情、热爱并有丰富经验的专业人士，我们以为广大游戏玩家带来更开心更好体验的游戏为核心目标。公司创建伊始，就很注重人才的引进和团队建设，将“以人为本、勇于创新”的理念贯穿人才甄选、人才培养、人才任用的始终，公司为每一个员工提供成长的空间和成功的机会，力求将员工个人的职业生涯规划完美地融入到组织的整体规划之中。公司管理层一直注重以人为本，员工待遇优厚，欢迎各位有识之士加入我们的团队！
资深SAS程序员/SAS编程经理,北京斯丹姆赛尔技术有限责任公司,2-3万/月,07-06,民营公司,150-500人,制药/生物工程,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 弹性工作 定期体检 年终奖金,上海|3-4年经验|本科|招若干人,"岗位职责：1、统计分析计划的实现；2、统计分析计划程序预运行；3、外部数据整合；4、CDISC相关编程工作(SDTM,ADaM)；5、临床数据管理相关的SAS编程工作；6、PatientProfile。任职要求：1、3年以上统计编程相关工作经验；2、本科以上学历，生物统计，流行病学，公共卫生，数理统计等相关专业；3、熟悉CDISC标准，熟悉统计分析计划的编程及预运行等；4、能熟练使用SAS,R等统计分析工具。可以对团队相关人员进行培训；5、能配合统计师独立完成统计分析计划的编程工作。",上海复旦科技园二期,"北京斯丹姆赛尔技术有限责任公司（BeijingStemexcelTechnologyCo.,Ltd），简称斯丹姆赛尔公司，是一家所属行业为合同研究组织（CRO)的公司。公司2005年成立至今，一直致力于为国内外客户提供高质量和高效率的医药临床研究服务，先后与众多的国内外医药企业合作，并建立了良好的战略合作伙伴关系，帮助国内外医药企业加快创新药物的研发速度，缩短了创新药物的研发周期，提升了国内外医药企业的临床研究水平。多年来，北京斯丹姆赛尔的规模在不断发展，已与国内多家知名医药企业和医药研发单位携手合作，并成为长期战略合作的伙伴。迄今为止，已帮助客户完成药品及器械申报注册和各类临床研究项目数十项。合作领域主要涉及内分泌、心脑血管、呼吸、肿瘤、消化等专业。北京斯丹姆赛尔公司为国内外客户提供全方位的服务，主要包括I－IV临床研究，生物等效性试验和国际多中心临床研究，药品及医疗器械注册事务。公司拥有一支专业的、敬业的、精诚合作的员工团队，团队的成员接受过国家食品药品监督管理局关于药物临床试验质量管理规范（SFDA-GCP），国际协调化会议药物临床试验质量管理规范(ICH-GCP)及其相关知识的培训和教育，并有多年的医药行业工作经验。北京斯丹姆赛尔一直关注并掌握最新相关政策法规信息，已成功为多家知名医药企业和医疗器械公司提供优质服务。专业、严谨、高效的工作作风，高质量的服务，使得斯丹姆赛尔在业内赢得了良好的声誉。斯丹姆赛尔已与国内多家医药企业和医药研发单位携手合作，并成为长期的战略合作伙伴。迄今为止，已帮助客户完成药品及器械申报注册和各类临床研究项目数十项。合作领域主要涉及内分泌、心脑血管、呼吸、肿瘤、消化等专业。服务范围临床事务1.提供优质的进口药品/器械的临床验证试验服务。2.临床研究包括：I至IV期临床研究，生物等效性试验。3.临床事务主要涉及以下方面：◇申报资料的翻译及准备；◇临床研究方案的起草和完善；◇临床研究病例报告表的设计；◇临床研究负责单位和参研单位的选择；◇临床研究标准操作规程的制定；◇临床研究验用药的包装设盲；◇临床研究的组织、实施、管理；◇临床研究的监查和稽查；◇临床研究质量控制和质量保证；◇临床研究相关文件的准备和管理；◇临床研究数据处理及统计分析；◇临床研究总结报告撰写；4.合作领域主要涉及内分泌、心脑血管、呼吸、肿瘤、消化等专业。注册事务1.进口药品注册2.西药新药申报注册3.中药新药申报注册4.生物制品申报注册和保健食品注册。斯丹姆赛尔服务优势（一）质量控制与质量保证体系1.强大的专家顾问团◇在临床研究方案设计、总结报告撰写等方面提供重要的指导意见和建议。◇参与临床试验的稽查，成为试验质量保证的又一个可靠后盾。2.完善的标准操作规程◇试验文件设计类◇试验操作程序类◇试验项目管理类◇规章制度类3.先进的监查手段斯丹姆赛尔掌握国际和国内流行的电子监查软件系统，拥有电子监查的网络平台。应用电化监查系统如下：◇DASforeCDM系统（二）优良的外部资源斯丹姆赛尔与全国各地临床研究机构的呼吸、内分泌、心脑血管、消化、肿瘤等专业的多位知名专家长期保持着密切的合作关系,多数专家已是我公司的VIP成员之一,他们为我们的方案设计,临床研究实施指导，总结报告撰写等方面提供了很大的帮助。"
eLearning课程开发程序员,北京德和顺天科技有限公司,6-8千/月,07-06,民营公司,150-500人,计算机软件,五险一金 带薪年假 交通补贴 餐饮补贴 定期体检 年终奖金 专业培训 绩效奖金,西安-雁塔区|3-4年经验|大专|招1人,"1.了解scorm课程标准,独立完成E-Learning课程开发制作，能够利用进行E-Learning课程开发交互功能的程序实现，2.使用HTML5，JavaScript等E-Learning学习平台相关开发技术进行课程框架搭建；3.对课程开发全过程有所了解，良好的沟通和团队协作能力。职责要求：1.精通HTML5，JavaScript等E-Learning学习平台相关开发技术，熟悉跨终端、跨浏览器的开发模式和平台特性；2.能够独立搭建课程功能框架，实现各种PC/移动终端的线上交互功能；3.年以上课程开发经验这优先考虑；4.能够轻松应对课程程序bug等问题；5.具备优良的逻辑思维，积极专注，有良好的理解能力和开括能力，乐于与团队协作。",海伦国际,北京德和顺天科技有限公司成立于2013年，致力于在21世纪的IT浪潮中推动汽车行业的信息化变革，助力汽车厂商及其营销服务网络，以及后市场的汽修企业更进一步提高他们的服务和营销技能与水平，从而提升终端用户的满意度。当前公司的核心业务主要分为四大类：1.车辆售后服务工程，包括售后各种技术文档的标准咨询，内容开发与翻译等；2.汽车行业的培训，包括对经销商网络，售后汽修企业以及汽车厂商的现场和在线专业培训，以及职业教育领域的校企合作等；3.产品宣传介绍的图文，视频资料的开发，以及相关的内容营销；4.基于内容管理CMS，结构化文档，多媒体内容，以及eLearning等领域的IT系统和应用开发通过数年的快速发展，我们已经成为行业领先的一站式服务供应商，目前我们的公司总部位于北京，并在上海，长春，宁波，西安等地设有分支机构。我们不仅为一汽集团，北汽集团，吉利等大型国有和民营车企提供各种服务，同时也服务于大众，奥迪，丰田，宝马和奔驰等国际知名车企。德和顺天公司重视人才的引进，培养和发展；为员工提供公正，透明，负责，轻松的工作氛围，舒适的工作环境，具有竞争力的薪资条件，以及良好的职业发展前景，欢迎广大英才前来应聘加盟。
资深程序员（开发组长）,芜湖美宿酒店管理有限公司,0.7-1万/月,07-07,民营公司,500-1000人,酒店/旅游,,合肥-高新区|3-4年经验|本科|招1人,岗位职责：1、负责Web系统前端和后台代码的开发，并按照项目设计和进度要求编码和单元测试；2、负责解决开发过程中的技术问题和产品性能的持续优化；3、参与系统设计和数据库，负责编写相关技术文档；4、协助项目经理及测试人员保证项目的质量；任职资格：1、大学本科以上学历；2、两年以上相关工作经验，有项目管理经验；3、有良好的沟通及团队合作能力；4、熟练掌握Java或C#一门技术，兼具两者则优先录取岗位。5、熟练掌握Web前端技术，熟悉JQuery、Vue等常用前端框架技术。工作地点：合肥高新区长江西路与科学大道交口5F创业园A座401待遇：7000~10000双休,5F创业园,美宿酒店集团是一家连锁精品酒店集团公司。目前在营酒店几十家，分布于安徽、江苏和浙江。分别为MS美宿洲际、MS美宿美乐汀、MS美宿雅居三大品牌。2017年12月，美宿酒店成功挂牌登陆资本市场（股票代码872458）。
